_________,
_XXX_X___,
XXXX_X___,
OXXX_X___,
_OXX_X___,
XOXX_X___,
OOXX_X___,
__OX_X___,
X_OX_X___,
O_OX_X___,
_XOX_X___,
XXOX_X___,
OXOX_X___,
_OOX_X___,
XOOX_X___,
OOOX_X___,
___O_X___,
X__O_X___,
O__O_X___,
_X_O_X___,
XX_O_X___,
OX_O_X___,
_O_O_X___,
XO_O_X___,
OO_O_X___,
__XO_X___,
X_XO_X___,
O_XO_X___,
_XXO_X___,
XXXO_X___,
OXXO_X___,
_OXO_X___,
XOXO_X___,
OOXO_X___,
__OO_X___,
X_OO_X___,
O_OO_X___,
_XOO_X___,
XXOO_X___,
OXOO_X___,
_OOO_X___,
XOOO_X___,
OOOO_X___,
____XX___,
X___XX___,
O___XX___,
_X__XX___,
XX__XX___,
OX__XX___,
_O__XX___,
XO__XX___,
OO__XX___,
__X_XX___,
X_X_XX___,
O_X_XX___,
_XX_XX___,
XXX_XX___,
OXX_XX___,
_OX_XX___,
XOX_XX___,
OOX_XX___,
__O_XX___,
X_O_XX___,
O_O_XX___,
_XO_XX___,
XXO_XX___,
OXO_XX___,
_OO_XX___,
XOO_XX___,
OOO_XX___,
___XXX___,
X__XXX___,
O__XXX___,
_X_XXX___,
XX_XXX___,
OX_XXX___,
_O_XXX___,
XO_XXX___,
OO_XXX___,
__XXXX___,
X_XXXX___,
O_XXXX___,
_XXXXX___,
XXXXXX___,
OXXXXX___,
_OXXXX___,
XOXXXX___,
OOXXXX___,
__OXXX___,
X_OXXX___,
O_OXXX___,
_XOXXX___,
XXOXXX___,
OXOXXX___,
_OOXXX___,
XOOXXX___,
OOOXXX___,
___OXX___,
X__OXX___,
O__OXX___,
_X_OXX___,
XX_OXX___,
OX_OXX___,
_O_OXX___,
XO_OXX___,
OO_OXX___,
__XOXX___,
X_XOXX___,
O_XOXX___,
_XXOXX___,
XXXOXX___,
OXXOXX___,
_OXOXX___,
XOXOXX___,
OOXOXX___,
__OOXX___,
X_OOXX___,
O_OOXX___,
_XOOXX___,
XXOOXX___,
OXOOXX___,
_OOOXX___,
XOOOXX___,
OOOOXX___,
____OX___,
X___OX___,
O___OX___,
_X__OX___,
XX__OX___,
OX__OX___,
_O__OX___,
XO__OX___,
OO__OX___,
__X_OX___,
X_X_OX___,
O_X_OX___,
_XX_OX___,
XXX_OX___,
OXX_OX___,
_OX_OX___,
XOX_OX___,
OOX_OX___,
__O_OX___,
X_O_OX___,
O_O_OX___,
_XO_OX___,
XXO_OX___,
OXO_OX___,
_OO_OX___,
XOO_OX___,
OOO_OX___,
___XOX___,
X__XOX___,
O__XOX___,
_X_XOX___,
XX_XOX___,
OX_XOX___,
_O_XOX___,
XO_XOX___,
OO_XOX___,
__XXOX___,
X_XXOX___,
O_XXOX___,
_XXXOX___,
XXXXOX___,
OXXXOX___,
_OXXOX___,
XOXXOX___,
OOXXOX___,
__OXOX___,
X_OXOX___,
O_OXOX___,
_XOXOX___,
XXOXOX___,
OXOXOX___,
_OOXOX___,
XOOXOX___,
OOOXOX___,
___OOX___,
X__OOX___,
O__OOX___,
_X_OOX___,
XX_OOX___,
OX_OOX___,
_O_OOX___,
XO_OOX___,
OO_OOX___,
__XOOX___,
X_XOOX___,
O_XOOX___,
_XXOOX___,
XXXOOX___,
OXXOOX___,
_OXOOX___,
XOXOOX___,
OOXOOX___,
__OOOX___,
X_OOOX___,
O_OOOX___,
_XOOOX___,
XXOOOX___,
OXOOOX___,
_OOOOX___,
XOOOOX___,
OOOOOX___,
_____O___,
X____O___,
O____O___,
_X___O___,
XX___O___,
OX___O___,
_O___O___,
XO___O___,
OO___O___,
__X__O___,
X_X__O___,
O_X__O___,
_XX__O___,
XXX__O___,
OXX__O___,
_OX__O___,
XOX__O___,
OOX__O___,
__O__O___,
X_O__O___,
O_O__O___,
_XO__O___,
XXO__O___,
OXO__O___,
_OO__O___,
XOO__O___,
OOO__O___,
___X_O___,
X__X_O___,
O__X_O___,
_X_X_O___,
XX_X_O___,
OX_X_O___,
_O_X_O___,
XO_X_O___,
OO_X_O___,
__XX_O___,
X_XX_O___,
O_XX_O___,
_XXX_O___,
XXXX_O___,
OXXX_O___,
_OXX_O___,
XOXX_O___,
OOXX_O___,
__OX_O___,
X_OX_O___,
O_OX_O___,
_XOX_O___,
XXOX_O___,
OXOX_O___,
_OOX_O___,
XOOX_O___,
OOOX_O___,
___O_O___,
X__O_O___,
O__O_O___,
_X_O_O___,
XX_O_O___,
OX_O_O___,
_O_O_O___,
XO_O_O___,
OO_O_O___,
__XO_O___,
X_XO_O___,
O_XO_O___,
_XXO_O___,
XXXO_O___,
OXXO_O___,
_OXO_O___,
XOXO_O___,
OOXO_O___,
__OO_O___,
X_OO_O___,
O_OO_O___,
_XOO_O___,
XXOO_O___,
OXOO_O___,
_OOO_O___,
XOOO_O___,
OOOO_O___,
____XO___,
X___XO___,
O___XO___,
_X__XO___,
XX__XO___,
OX__XO___,
_O__XO___,
XO__XO___,
OO__XO___,
__X_XO___,
X_X_XO___,
O_X_XO___,
_XX_XO___,
XXX_XO___,
OXX_XO___,
_OX_XO___,
XOX_XO___,
OOX_XO___,
__O_XO___,
X_O_XO___,
O_O_XO___,
_XO_XO___,
XXO_XO___,
OXO_XO___,
_OO_XO___,
XOO_XO___,
OOO_XO___,
___XXO___,
X__XXO___,
O__XXO___,
_X_XXO___,
XX_XXO___,
OX_XXO___,
_O_XXO___,
XO_XXO___,
OO_XXO___,
__XXXO___,
X_XXXO___,
O_XXXO___,
_XXXXO___,
XXXXXO___,
OXXXXO___,
_OXXXO___,
XOXXXO___,
OOXXXO___,
__OXXO___,
X_OXXO___,
O_OXXO___,
_XOXXO___,
XXOXXO___,
OXOXXO___,
_OOXXO___,
XOOXXO___,
OOOXXO___,
___OXO___,
X__OXO___,
O__OXO___,
_X_OXO___,
XX_OXO___,
OX_OXO___,
_O_OXO___,
XO_OXO___,
OO_OXO___,
__XOXO___,
X_XOXO___,
O_XOXO___,
_XXOXO___,
XXXOXO___,
OXXOXO___,
_OXOXO___,
XOXOXO___,
OOXOXO___,
__OOXO___,
X_OOXO___,
O_OOXO___,
_XOOXO___,
XXOOXO___,
OXOOXO___,
_OOOXO___,
XOOOXO___,
OOOOXO___,
____OO___,
X___OO___,
O___OO___,
_X__OO___,
XX__OO___,
OX__OO___,
_O__OO___,
XO__OO___,
OO__OO___,
__X_OO___,
X_X_OO___,
O_X_OO___,
_XX_OO___,
XXX_OO___,
OXX_OO___,
_OX_OO___,
XOX_OO___,
OOX_OO___,
__O_OO___,
X_O_OO___,
O_O_OO___,
_XO_OO___,
XXO_OO___,
OXO_OO___,
_OO_OO___,
XOO_OO___,
OOO_OO___,
___XOO___,
X__XOO___,
O__XOO___,
_X_XOO___,
XX_XOO___,
OX_XOO___,
_O_XOO___,
XO_XOO___,
OO_XOO___,
__XXOO___,
X_XXOO___,
O_XXOO___,
_XXXOO___,
XXXXOO___,
OXXXOO___,
_OXXOO___,
XOXXOO___,
OOXXOO___,
__OXOO___,
X_OXOO___,
O_OXOO___,
_XOXOO___,
XXOXOO___,
OXOXOO___,
_OOXOO___,
XOOXOO___,
OOOXOO___,
___OOO___,
X__OOO___,
O__OOO___,
_X_OOO___,
XX_OOO___,
OX_OOO___,
_O_OOO___,
XO_OOO___,
OO_OOO___,
__XOOO___,
X_XOOO___,
O_XOOO___,
_XXOOO___,
XXXOOO___,
OXXOOO___,
_OXOOO___,
XOXOOO___,
OOXOOO___,
__OOOO___,
X_OOOO___,
O_OOOO___,
_XOOOO___,
XXOOOO___,
OXOOOO___,
_OOOOO___,
XOOOOO___,
OOOOOO___,
______X__,
X_____X__,
O_____X__,
_X____X__,
XX____X__,
OX____X__,
_O____X__,
XO____X__,
OO____X__,
__X___X__,
X_X___X__,
O_X___X__,
_XX___X__,
XXX___X__,
OXX___X__,
_OX___X__,
XOX___X__,
OOX___X__,
__O___X__,
X_O___X__,
O_O___X__,
_XO___X__,
XXO___X__,
OXO___X__,
_OO___X__,
XOO___X__,
OOO___X__,
___X__X__,
X__X__X__,
O__X__X__,
_X_X__X__,
XX_X__X__,
OX_X__X__,
_O_X__X__,
XO_X__X__,
OO_X__X__,
__XX__X__,
X_XX__X__,
O_XX__X__,
_XXX__X__,
XXXX__X__,
OXXX__X__,
_OXX__X__,
XOXX__X__,
OOXX__X__,
__OX__X__,
X_OX__X__,
O_OX__X__,
_XOX__X__,
XXOX__X__,
OXOX__X__,
_OOX__X__,
XOOX__X__,
OOOX__X__,
___O__X__,
X__O__X__,
O__O__X__,
_X_O__X__,
XX_O__X__,
OX_O__X__,
_O_O__X__,
XO_O__X__,
OO_O__X__,
__XO__X__,
X_XO__X__,
O_XO__X__,
_XXO__X__,
XXXO__X__,
OXXO__X__,
_OXO__X__,
XOXO__X__,
OOXO__X__,
__OO__X__,
X_OO__X__,
O_OO__X__,
_XOO__X__,
XXOO__X__,
OXOO__X__,
_OOO__X__,
XOOO__X__,
OOOO__X__,
____X_X__,
X___X_X__,
O___X_X__,
_X__X_X__,
XX__X_X__,
OX__X_X__,
_O__X_X__,
XO__X_X__,
OO__X_X__,
__X_X_X__,
X_X_X_X__,
O_X_X_X__,
_XX_X_X__,
XXX_X_X__,
OXX_X_X__,
_OX_X_X__,
XOX_X_X__,
OOX_X_X__,
__O_X_X__,
X_O_X_X__,
O_O_X_X__,
_XO_X_X__,
XXO_X_X__,
OXO_X_X__,
_OO_X_X__,
XOO_X_X__,
OOO_X_X__,
___XX_X__,
X__XX_X__,
O__XX_X__,
_X_XX_X__,
XX_XX_X__,
OX_XX_X__,
_O_XX_X__,
XO_XX_X__,
OO_XX_X__,
__XXX_X__,
X_XXX_X__,
O_XXX_X__,
_XXXX_X__,
XXXXX_X__,
OXXXX_X__,
_OXXX_X__,
XOXXX_X__,
OOXXX_X__,
__OXX_X__,
X_OXX_X__,
O_OXX_X__,
_XOXX_X__,
XXOXX_X__,
OXOXX_X__,
_OOXX_X__,
XOOXX_X__,
OOOXX_X__,
___OX_X__,
X__OX_X__,
O__OX_X__,
_X_OX_X__,
XX_OX_X__,
OX_OX_X__,
_O_OX_X__,
XO_OX_X__,
OO_OX_X__,
__XOX_X__,
X_XOX_X__,
O_XOX_X__,
_XXOX_X__,
XXXOX_X__,
OXXOX_X__,
_OXOX_X__,
XOXOX_X__,
OOXOX_X__,
__OOX_X__,
X_OOX_X__,
O_OOX_X__,
_XOOX_X__,
XXOOX_X__,
OXOOX_X__,
_OOOX_X__,
XOOOX_X__,
OOOOX_X__,
____O_X__,
X___O_X__,
O___O_X__,
_X__O_X__,
XX__O_X__,
OX__O_X__,
_O__O_X__,
XO__O_X__,
OO__O_X__,
__X_O_X__,
X_X_O_X__,
O_X_O_X__,
_XX_O_X__,
XXX_O_X__,
OXX_O_X__,
_OX_O_X__,
XOX_O_X__,
OOX_O_X__,
__O_O_X__,
X_O_O_X__,
O_O_O_X__,
_XO_O_X__,
XXO_O_X__,
OXO_O_X__,
_OO_O_X__,
XOO_O_X__,
OOO_O_X__,
___XO_X__,
X__XO_X__,
O__XO_X__,
_X_XO_X__,
XX_XO_X__,
OX_XO_X__,
_O_XO_X__,
XO_XO_X__,
OO_XO_X__,
__XXO_X__,
X_XXO_X__,
O_XXO_X__,
_XXXO_X__,
XXXXO_X__,
OXXXO_X__,
_OXXO_X__,
XOXXO_X__,
OOXXO_X__,
__OXO_X__,
X_OXO_X__,
O_OXO_X__,
_XOXO_X__,
XXOXO_X__,
OXOXO_X__,
_OOXO_X__,
XOOXO_X__,
OOOXO_X__,
___OO_X__,
X__OO_X__,
O__OO_X__,
_X_OO_X__,
XX_OO_X__,
OX_OO_X__,
_O_OO_X__,
XO_OO_X__,
OO_OO_X__,
__XOO_X__,
X_XOO_X__,
O_XOO_X__,
_XXOO_X__,
XXXOO_X__,
OXXOO_X__,
_OXOO_X__,
XOXOO_X__,
OOXOO_X__,
__OOO_X__,
X_OOO_X__,
O_OOO_X__,
_XOOO_X__,
XXOOO_X__,
OXOOO_X__,
_OOOO_X__,
XOOOO_X__,
OOOOO_X__,
_____XX__,
X____XX__,
O____XX__,
_X___XX__,
XX___XX__,
OX___XX__,
_O___XX__,
XO___XX__,
OO___XX__,
__X__XX__,
X_X__XX__,
O_X__XX__,
_XX__XX__,
XXX__XX__,
OXX__XX__,
_OX__XX__,
XOX__XX__,
OOX__XX__,
__O__XX__,
X_O__XX__,
O_O__XX__,
_XO__XX__,
XXO__XX__,
OXO__XX__,
_OO__XX__,
XOO__XX__,
OOO__XX__,
___X_XX__,
X__X_XX__,
O__X_XX__,
_X_X_XX__,
XX_X_XX__,
OX_X_XX__,
_O_X_XX__,
XO_X_XX__,
OO_X_XX__,
__XX_XX__,
X_XX_XX__,
O_XX_XX__,
_XXX_XX__,
XXXX_XX__,
OXXX_XX__,
_OXX_XX__,
XOXX_XX__,
OOXX_XX__,
__OX_XX__,
X_OX_XX__,
O_OX_XX__,
_XOX_XX__,
XXOX_XX__,
OXOX_XX__,
_OOX_XX__,
XOOX_XX__,
OOOX_XX__,
___O_XX__,
X__O_XX__,
O__O_XX__,
_X_O_XX__,
XX_O_XX__,
OX_O_XX__,
_O_O_XX__,
XO_O_XX__,
OO_O_XX__,
__XO_XX__,
X_XO_XX__,
O_XO_XX__,
_XXO_XX__,
XXXO_XX__,
OXXO_XX__,
_OXO_XX__,
XOXO_XX__,
OOXO_XX__,
__OO_XX__,
X_OO_XX__,
O_OO_XX__,
_XOO_XX__,
XXOO_XX__,
OXOO_XX__,
_OOO_XX__,
XOOO_XX__,
OOOO_XX__,
____XXX__,
X___XXX__,
O___XXX__,
_X__XXX__,
XX__XXX__,
OX__XXX__,
_O__XXX__,
XO__XXX__,
OO__XXX__,
__X_XXX__,
X_X_XXX__,
O_X_XXX__,
_XX_XXX__,
XXX_XXX__,
OXX_XXX__,
_OX_XXX__,
XOX_XXX__,
OOX_XXX__,
__O_XXX__,
X_O_XXX__,
O_O_XXX__,
_XO_XXX__,
XXO_XXX__,
OXO_XXX__,
_OO_XXX__,
XOO_XXX__,
OOO_XXX__,
___XXXX__,
X__XXXX__,
O__XXXX__,
_X_XXXX__,
XX_XXXX__,
OX_XXXX__,
_O_XXXX__,
XO_XXXX__,
OO_XXXX__,
__XXXXX__,
X_XXXXX__,
O_XXXXX__,
_XXXXXX__,
XXXXXXX__,
OXXXXXX__,
_OXXXXX__,
XOXXXXX__,
OOXXXXX__,
__OXXXX__,
X_OXXXX__,
O_OXXXX__,
_XOXXXX__,
XXOXXXX__,
OXOXXXX__,
_OOXXXX__,
XOOXXXX__,
OOOXXXX__,
___OXXX__,
X__OXXX__,
O__OXXX__,
_X_OXXX__,
XX_OXXX__,
OX_OXXX__,
_O_OXXX__,
XO_OXXX__,
OO_OXXX__,
__XOXXX__,
X_XOXXX__,
O_XOXXX__,
_XXOXXX__,
XXXOXXX__,
OXXOXXX__,
_OXOXXX__,
XOXOXXX__,
OOXOXXX__,
__OOXXX__,
X_OOXXX__,
O_OOXXX__,
_XOOXXX__,
XXOOXXX__,
OXOOXXX__,
_OOOXXX__,
XOOOXXX__,
OOOOXXX__,
____OXX__,
X___OXX__,
O___OXX__,
_X__OXX__,
XX__OXX__,
OX__OXX__,
_O__OXX__,
XO__OXX__,
OO__OXX__,
__X_OXX__,
X_X_OXX__,
O_X_OXX__,
_XX_OXX__,
XXX_OXX__,
OXX_OXX__,
_OX_OXX__,
XOX_OXX__,
OOX_OXX__,
__O_OXX__,
X_O_OXX__,
O_O_OXX__,
_XO_OXX__,
XXO_OXX__,
OXO_OXX__,
_OO_OXX__,
XOO_OXX__,
OOO_OXX__,
___XOXX__,
X__XOXX__,
O__XOXX__,
_X_XOXX__,
XX_XOXX__,
OX_XOXX__,
_O_XOXX__,
XO_XOXX__,
OO_XOXX__,
__XXOXX__,
X_XXOXX__,
O_XXOXX__,
_XXXOXX__,
XXXXOXX__,
OXXXOXX__,
_OXXOXX__,
XOXXOXX__,
OOXXOXX__,
__OXOXX__,
X_OXOXX__,
O_OXOXX__,
_XOXOXX__,
XXOXOXX__,
OXOXOXX__,
_OOXOXX__,
XOOXOXX__,
OOOXOXX__,
___OOXX__,
X__OOXX__,
O__OOXX__,
_X_OOXX__,
XX_OOXX__,
OX_OOXX__,
_O_OOXX__,
XO_OOXX__,
OO_OOXX__,
__XOOXX__,
X_XOOXX__,
O_XOOXX__,
_XXOOXX__,
XXXOOXX__,
OXXOOXX__,
_OXOOXX__,
XOXOOXX__,
OOXOOXX__,
__OOOXX__,
X_OOOXX__,
O_OOOXX__,
_XOOOXX__,
XXOOOXX__,
OXOOOXX__,
_OOOOXX__,
XOOOOXX__,
OOOOOXX__,
_____OX__,
X____OX__,
O____OX__,
_X___OX__,
XX___OX__,
OX___OX__,
_O___OX__,
XO___OX__,
OO___OX__,
__X__OX__,
X_X__OX__,
O_X__OX__,
_XX__OX__,
XXX__OX__,
OXX__OX__,
_OX__OX__,
XOX__OX__,
OOX__OX__,
__O__OX__,
X_O__OX__,
O_O__OX__,
_XO__OX__,
XXO__OX__,
OXO__OX__,
_OO__OX__,
XOO__OX__,
OOO__OX__,
___X_OX__,
X__X_OX__,
O__X_OX__,
_X_X_OX__,
XX_X_OX__,
OX_X_OX__,
_O_X_OX__,
XO_X_OX__,
OO_X_OX__,
__XX_OX__,
X_XX_OX__,
O_XX_OX__,
_XXX_OX__,
XXXX_OX__,
OXXX_OX__,
_OXX_OX__,
XOXX_OX__,
OOXX_OX__,
__OX_OX__,
X_OX_OX__,
O_OX_OX__,
_XOX_OX__,
XXOX_OX__,
OXOX_OX__,
_OOX_OX__,
XOOX_OX__,
OOOX_OX__,
___O_OX__,
X__O_OX__,
O__O_OX__,
_X_O_OX__,
XX_O_OX__,
OX_O_OX__,
_O_O_OX__,
XO_O_OX__,
OO_O_OX__,
__XO_OX__,
X_XO_OX__,
O_XO_OX__,
_XXO_OX__,
XXXO_OX__,
OXXO_OX__,
_OXO_OX__,
XOXO_OX__,
OOXO_OX__,
__OO_OX__,
X_OO_OX__,
O_OO_OX__,
_XOO_OX__,
XXOO_OX__,
OXOO_OX__,
_OOO_OX__,
XOOO_OX__,
OOOO_OX__,
____XOX__,
X___XOX__,
O___XOX__,
_X__XOX__,
XX__XOX__,
OX__XOX__,
_O__XOX__,
XO__XOX__,
OO__XOX__,
__X_XOX__,
X_X_XOX__,
O_X_XOX__,
_XX_XOX__,
XXX_XOX__,
OXX_XOX__,
_OX_XOX__,
XOX_XOX__,
OOX_XOX__,
__O_XOX__,
X_O_XOX__,
O_O_XOX__,
_XO_XOX__,
XXO_XOX__,
OXO_XOX__,
_OO_XOX__,
XOO_XOX__,
OOO_XOX__,
___XXOX__,
X__XXOX__,
O__XXOX__,
_X_XXOX__,
XX_XXOX__,
OX_XXOX__,
_O_XXOX__,
XO_XXOX__,
OO_XXOX__,
__XXXOX__,
X_XXXOX__,
O_XXXOX__,
_XXXXOX__,
XXXXXOX__,
OXXXXOX__,
_OXXXOX__,
XOXXXOX__,
OOXXXOX__,
__OXXOX__,
X_OXXOX__,
O_OXXOX__,
_XOXXOX__,
XXOXXOX__,
OXOXXOX__,
_OOXXOX__,
XOOXXOX__,
OOOXXOX__,
___OXOX__,
X__OXOX__,
O__OXOX__,
_X_OXOX__,
XX_OXOX__,
OX_OXOX__,
_O_OXOX__,
XO_OXOX__,
OO_OXOX__,
__XOXOX__,
X_XOXOX__,
O_XOXOX__,
_XXOXOX__,
XXXOXOX__,
OXXOXOX__,
_OXOXOX__,
XOXOXOX__,
OOXOXOX__,
__OOXOX__,
X_OOXOX__,
O_OOXOX__,
_XOOXOX__,
XXOOXOX__,
OXOOXOX__,
_OOOXOX__,
XOOOXOX__,
OOOOXOX__,
____OOX__,
X___OOX__,
O___OOX__,
_X__OOX__,
XX__OOX__,
OX__OOX__,
_O__OOX__,
XO__OOX__,
OO__OOX__,
__X_OOX__,
X_X_OOX__,
O_X_OOX__,
_XX_OOX__,
XXX_OOX__,
OXX_OOX__,
_OX_OOX__,
XOX_OOX__,
OOX_OOX__,
__O_OOX__,
X_O_OOX__,
O_O_OOX__,
_XO_OOX__,
XXO_OOX__,
OXO_OOX__,
_OO_OOX__,
XOO_OOX__,
OOO_OOX__,
___XOOX__,
X__XOOX__,
O__XOOX__,
_X_XOOX__,
XX_XOOX__,
OX_XOOX__,
_O_XOOX__,
XO_XOOX__,
OO_XOOX__,
__XXOOX__,
X_XXOOX__,
O_XXOOX__,
_XXXOOX__,
XXXXOOX__,
OXXXOOX__,
_OXXOOX__,
XOXXOOX__,
OOXXOOX__,
__OXOOX__,
X_OXOOX__,
O_OXOOX__,
_XOXOOX__,
XXOXOOX__,
OXOXOOX__,
_OOXOOX__,
XOOXOOX__,
OOOXOOX__,
___OOOX__,
X__OOOX__,
O__OOOX__,
_X_OOOX__,
XX_OOOX__,
OX_OOOX__,
_O_OOOX__,
XO_OOOX__,
OO_OOOX__,
__XOOOX__,
X_XOOOX__,
O_XOOOX__,
_XXOOOX__,
XXXOOOX__,
OXXOOOX__,
_OXOOOX__,
XOXOOOX__,
OOXOOOX__,
__OOOOX__,
X_OOOOX__,
O_OOOOX__,
_XOOOOX__,
XXOOOOX__,
OXOOOOX__,
_OOOOOX__,
XOOOOOX__,
OOOOOOX__,
______O__,
X_____O__,
O_____O__,
_X____O__,
XX____O__,
OX____O__,
_O____O__,
XO____O__,
OO____O__,
__X___O__,
X_X___O__,
O_X___O__,
_XX___O__,
XXX___O__,
OXX___O__,
_OX___O__,
XOX___O__,
OOX___O__,
__O___O__,
X_O___O__,
O_O___O__,
_XO___O__,
XXO___O__,
OXO___O__,
_OO___O__,
XOO___O__,
OOO___O__,
___X__O__,
X__X__O__,
O__X__O__,
_X_X__O__,
XX_X__O__,
OX_X__O__,
_O_X__O__,
XO_X__O__,
OO_X__O__,
__XX__O__,
X_XX__O__,
O_XX__O__,
_XXX__O__,
XXXX__O__,
OXXX__O__,
_OXX__O__,
XOXX__O__,
OOXX__O__,
__OX__O__,
X_OX__O__,
O_OX__O__,
_XOX__O__,
XXOX__O__,
OXOX__O__,
_OOX__O__,
XOOX__O__,
OOOX__O__,
___O__O__,
X__O__O__,
O__O__O__,
_X_O__O__,
XX_O__O__,
OX_O__O__,
_O_O__O__,
XO_O__O__,
OO_O__O__,
__XO__O__,
X_XO__O__,
O_XO__O__,
_XXO__O__,
XXXO__O__,
OXXO__O__,
_OXO__O__,
XOXO__O__,
OOXO__O__,
__OO__O__,
X_OO__O__,
O_OO__O__,
_XOO__O__,
XXOO__O__,
OXOO__O__,
_OOO__O__,
XOOO__O__,
OOOO__O__,
____X_O__,
X___X_O__,
O___X_O__,
_X__X_O__,
XX__X_O__,
OX__X_O__,
_O__X_O__,
XO__X_O__,
OO__X_O__,
__X_X_O__,
X_X_X_O__,
O_X_X_O__,
_XX_X_O__,
XXX_X_O__,
OXX_X_O__,
_OX_X_O__,
XOX_X_O__,
OOX_X_O__,
__O_X_O__,
X_O_X_O__,
O_O_X_O__,
_XO_X_O__,
XXO_X_O__,
OXO_X_O__,
_OO_X_O__,
XOO_X_O__,
OOO_X_O__,
___XX_O__,
X__XX_O__,
O__XX_O__,
_X_XX_O__,
XX_XX_O__,
OX_XX_O__,
_O_XX_O__,
XO_XX_O__,
OO_XX_O__,
__XXX_O__,
X_XXX_O__,
O_XXX_O__,
_XXXX_O__,
XXXXX_O__,
OXXXX_O__,
_OXXX_O__,
XOXXX_O__,
OOXXX_O__,
__OXX_O__,
X_OXX_O__,
O_OXX_O__,
_XOXX_O__,
XXOXX_O__,
OXOXX_O__,
_OOXX_O__,
XOOXX_O__,
OOOXX_O__,
___OX_O__,
X__OX_O__,
O__OX_O__,
_X_OX_O__,
XX_OX_O__,
OX_OX_O__,
_O_OX_O__,
XO_OX_O__,
OO_OX_O__,
__XOX_O__,
X_XOX_O__,
O_XOX_O__,
_XXOX_O__,
XXXOX_O__,
OXXOX_O__,
_OXOX_O__,
XOXOX_O__,
OOXOX_O__,
__OOX_O__,
X_OOX_O__,
O_OOX_O__,
_XOOX_O__,
